idStudy,idIstat,Province,itCode,Exceedances,StationsNum,Cases,Population,Density,Long,Lat,Where,Commuters,CommutersDensity,ExcedRatio25
42,97,Agrigento,AG,0,1,17,434870,142,13.36,37.18,south,173492,40,NA
44,6,Alessandria,AL,36,6,136,421284,118,8.37,44.55,north,201147,48,NA
40,61,Ancona,AN,5,7,158,471228,240,13.31,43.37,south,242608,51,1
106,9,Aosta,AO,5,6,28,125666,39,7.19,45.44,north,66804,53,1
89,63,AscoliPiceno,AP,0,4,2,207179,169,13.34,42.51,south,99293,48,0
72,70,Laquila,AQ,0,2,9,299031,59,13.24,42.21,south,133398,45,0
61,54,Arezzo,AR,0,3,16,342654,106,11.53,43.28,south,174654,51,0
87,5,Asti,AT,25,3,70,214638,142,8.12,44.53,north,106578,50,NA
45,79,Avellino,AV,5,4,14,418306,149,14.47,40.55,south,185434,44,2
7,82,Bari,BA,1,15,38,1251994,244,16.53,41.07,south,568976,45,NA
9,18,Bergamo,BG,67,10,2368,1114590,405,9.4,45.42,north,597908,54,13
94,7,Biella,BI,11,4,48,175585,192,8.03,45.34,north,87889,50,NA
90,30,Belluno,BL,7,3,59,202950,56,12.13,46.08,north,104627,52,NA
75,77,Benevento,BN,2,3,3,277018,133,14.46,41.08,south,119522,43,0.5
12,43,Bologna,BO,26,6,155,1014619,274,11.21,44.3,north,522637,52,8
49,84,Brindisi,BR,1,15,20,392975,211,17.56,40.39,south,166464,42,NA
6,19,Brescia,BS,50,6,1784,1265954,265,10.12,45.32,north,663255,52,12
51,86,BarlettaAndriaTrani,BT,0,3,10,390011,253,16.3,41.3,south,171432,44,NA
38,26,BolzanoBozen,BZ,NA,NA,125,531178,72,11.2,46.3,north,287395,54,3.33
32,105,Cagliari,CA,0,8,15,431038,116,9.07,39.13,south,254252,59,0.5
84,74,Campobasso,CB,0,0,17,221238,76,14.39,41.34,south,97717,44,NA
14,76,Caserta,CE,14,9,38,922965,348,14.19,41.04,south,381692,41,0.2
54,73,Chieti,CH,0,4,23,385588,148,14.1,42.21,south,177374,46,1.67
107,NA,CarboniaIglesias,CI,0,9,4,127133,85,8.5,39.1,south,23427,18,NA
77,98,Caltanissetta,CL,0,0,2,262458,123,14.04,37.29,south,108461,41,NA
29,4,Cuneo,CN,28,5,40,587098,85,7.33,44.24,north,306817,52,5
28,15,Como,CO,20,3,118,599204,468,9.05,45.48,north,322051,54,11
59,21,Cremona,CR,79,7,1344,358955,203,10.02,45.08,north,186488,52,14.75
23,89,Cosenza,CS,0,5,10,705753,105,16.15,39.17,south,295367,42,NA
8,100,Catania,CT,0,1,49,1107702,310,15.05,37.3,south,455301,41,NA
57,90,Catanzaro,CZ,1,5,3,358316,148,16.35,38.54,south,152828,43,NA
98,99,Enna,EN,0,1,1,164788,64,14.16,37.34,south,70263,43,NA
50,46,ForliCesena,FC,11,6,49,394627,166,12.03,44.13,north,209196,53,7
60,44,Ferrara,FE,39,6,24,345691,131,11.38,44.5,north,174079,50,8.33
27,81,Foggia,FG,0,7,34,622183,89,15.33,41.28,south,261191,42,NA
11,51,Firenze,FI,0,8,101,1011349,288,11.15,43.46,south,509653,50,0
96,64,Fermo,FM,0,0,16,173800,201,13.75,43.2,south,85582,49,NA
39,69,Frosinone,FR,8,22,28,489083,151,13.22,41.38,south,217341,44,4.29
